ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT	QUINTILES
130	AchangLongchuan	back	xa³¹ luŋ³⁵	xa³¹+luŋ³⁵	x a ³¹ + l u ŋ ³⁵		3188 591	x a ³¹ + l u ŋ ³⁵	x a ³¹ + l u ŋ ³⁵
131	AchangLongchuan	back	n̥oŋ⁵⁵ pa³¹	n̥oŋ⁵⁵+pa³¹	n̥ o ŋ ⁵⁵ + p a ³¹		592 3189	n̥ o ŋ ⁵⁵ + p a ³¹	n̥ o ŋ ⁵⁵ + p a ³¹
132	Atsi	back	nuŋ⁵¹ khuŋ⁵¹	nuŋ⁵¹+khuŋ⁵¹	n u ŋ ⁵¹ + kʰ u ŋ ⁵¹		3190 589	n u ŋ ⁵¹ + kʰ - u ŋ ⁵¹	n u ŋ ⁵¹ + kʰ u ŋ ⁵¹
133	Atsi	back	thaŋ⁵¹	thaŋ⁵¹	tʰ a ŋ ⁵¹		1518	tʰ a ŋ ⁵¹	tʰ a ŋ ⁵¹
134	Bola	back	kauŋ⁵⁵ tɔ̱̃³⁵	kauŋ⁵⁵+tɔ̱̃³⁵	k au ŋ ⁵⁵ + t ɔ̱̃ ³⁵		3191 593	k au ŋ ⁵⁵ + t ɔ̱̃ - ³⁵	k au ŋ ⁵⁵ + t ɔ̱̃ ³⁵
135	Bola	back	thɔ̃⁵⁵	thɔ̃⁵⁵	tʰ ɔ̃ ⁵⁵		1519	tʰ ɔ̃ ⁵⁵	tʰ ɔ̃ ⁵⁵
136	Lashi	back	nuŋ⁵⁵ khuŋ³³	nuŋ⁵⁵+khuŋ³³	n u ŋ ⁵⁵ + kʰ u ŋ ³³		3192 589	n u ŋ ⁵⁵ + kʰ - u ŋ ³³	n u ŋ ⁵⁵ + kʰ u ŋ ³³
137	Lashi	back	thaŋ³³	thaŋ³³	tʰ a ŋ ³³		1520	tʰ a ŋ ³³	tʰ a ŋ ³³
138	Maru	back	kauŋ³¹ tɔ̃⁵⁵	kauŋ³¹+tɔ̃⁵⁵	k au ŋ ³¹ + t ɔ̃ ⁵⁵		3193 594	k au ŋ ³¹ + t ɔ̃ - ⁵⁵	k au ŋ ³¹ + t ɔ̃ ⁵⁵
139	Maru	back	thɔ̃³¹	thɔ̃³¹	tʰ ɔ̃ ³¹		1521	tʰ ɔ̃ ³¹	tʰ ɔ̃ ³¹
140	Xiandao	back	a³¹ tu⁵¹ m̥ɔŋ³⁵	a³¹+tu⁵¹+m̥ɔŋ³⁵	a ³¹ + t u ⁵¹ + m̥ ɔ ŋ ³⁵		3194 589 3195	a ³¹ + - t u - ⁵¹ + m̥ ɔ ŋ ³⁵	a ³¹ + t u ⁵¹ + m̥ ɔ ŋ ³⁵
141	Xiandao	back	chi³¹ n̥oŋ⁵⁵	chi³¹+n̥oŋ⁵⁵	ch/tʃʰ i ³¹ + n̥ o ŋ ⁵⁵		3196 589	ch/tʃʰ i ³¹ + - n̥ o ŋ ⁵⁵	ch/tʃʰ i ³¹ + n̥ o ŋ ⁵⁵
142	ProtoBurmish	back	*luŋX	luŋ³	l u ŋ ³		591	l u ŋ ³	?l ?u ?ŋ ?³
143	ProtoBurmish	back	*ʔnoŋ	ˀnoŋ¹	ˀn o ŋ ¹		592	ˀn o ŋ ¹	?ˀn ?o ?ŋ ?¹
144	ProtoBurmish	back	*ʔtaŋX	ˀtaŋ³	ˀt a ŋ ³		593	ˀt a ŋ ³	?ˀt ?a ?ŋ ?³
145	ProtoBurmish	back	*daŋX	daŋ³	d a ŋ ³		594	d a ŋ ³	?d ?a ?ŋ ?³
146	OldBurmese	banana (plantain)	ṅhak plyo₂ḥ	ṅhak+pljOḥ	ṅh/ŋʰ a k + p l j o₂/ɔ ḥ/⁵		680 3301	ṅh/ŋʰ a k - + p l j o₂/ɔ ḥ/⁵	ṅh/ŋʰ a k + p l j o₂/ɔ ḥ/⁵
147	Atsi	banana (plantain)	ŋoʔ⁵⁵ mjuʔ²¹	ŋoʔ⁵⁵+mjuʔ²¹	ŋ o ʔ ⁵⁵ + m j u ʔ ²¹		681 3302	ŋ o ʔ ⁵⁵ + m j u ʔ ²¹	ŋ o ʔ ⁵⁵ + m j u ʔ ²¹
148	Bola	banana (plantain)	ŋaʔ³¹ mjauʔ³¹	ŋaʔ³¹+mjauʔ³¹	ŋ a ʔ ³¹ + m j au ʔ ³¹		681 3303	ŋ a ʔ ³¹ + m j au ʔ ³¹	ŋ a ʔ ³¹ + m j au ʔ ³¹
149	Lashi	banana (plantain)	ŋɔʔ⁵⁵ mju̱k⁵⁵	ŋɔʔ⁵⁵+mju̱k⁵⁵	ŋ ɔ ʔ ⁵⁵ + m j u̱ k ⁵⁵		681 3304	ŋ ɔ ʔ ⁵⁵ + m j u̱ k ⁵⁵	ŋ ɔ ʔ ⁵⁵ + m j u̱ k ⁵⁵
150	Maru	banana (plantain)	ŋɔʔ³¹ mjauk³¹	ŋɔʔ³¹+mjauk³¹	ŋ ɔ ʔ ³¹ + m j au k ³¹		681 3305	ŋ ɔ ʔ ³¹ + m j au k ³¹	ŋ ɔ ʔ ³¹ + m j au k ³¹
151	ProtoBurmish	banana (plantain)	*ŋak	ŋak⁴	ŋ a k ⁴		681	ŋ a k ⁴	( ŋ a k ⁴ )
152	Maru	basket carried on the back	tɔ̃³⁵	tɔ̃³⁵	t ɔ̃ ³⁵		72	- t ɔ̃ - ³⁵	t ɔ̃ ³⁵
153	OldBurmese	bat	laṅḥ nuiw	laṅḥ+nui̯	l a ṅ/ŋ ḥ/⁵ + n ui̯		3016 496	l a ṅ/ŋ ḥ/⁵ + n ui̯ -	l a ṅ/ŋ ḥ/⁵ + n ui̯
154	Rangoon	bat	lĩ⁵⁵ no⁵³	lĩ⁵⁵+no⁵³	l ĩ ⁵⁵ + n o ⁵³		3017 1454	l ĩ ⁵⁵ + n o ⁵³	l ĩ ⁵⁵ + n o ⁵³
155	Atsi	bat	phe⁵⁵ xi⁵⁵	phe⁵⁵+xi⁵⁵	pʰ e ⁵⁵ + x i ⁵⁵		1460 3055	pʰ e ⁵⁵ + x i ⁵⁵	pʰ e ⁵⁵ + x i ⁵⁵
156	Bola	bat	phaʔ⁵⁵ xəi³¹	phaʔ⁵⁵+xəi³¹	pʰ a ʔ ⁵⁵ + x əi ³¹		504 3056	pʰ - a ʔ ⁵⁵ + x əi ³¹	pʰ a ʔ ⁵⁵ + x əi ³¹
157	Lashi	bat	phɔʔ⁵⁵ ʃi⁵³	phɔʔ⁵⁵+ʃi⁵³	pʰ ɔ ʔ ⁵⁵ + ʃ i ⁵³		1461 3057	pʰ ɔ ʔ ⁵⁵ + ʃ i ⁵³	pʰ ɔ ʔ ⁵⁵ + ʃ i ⁵³
158	Maru	bat	phɔʔ⁵⁵ xək⁵⁵	phɔʔ⁵⁵+xək⁵⁵	pʰ ɔ ʔ ⁵⁵ + x ə k ⁵⁵		504 3058	pʰ - ɔ ʔ ⁵⁵ + x ə k ⁵⁵	pʰ ɔ ʔ ⁵⁵ + x ə k ⁵⁵
159	ProtoBurmish	bat	*nu	nu¹	n u ¹		496	n u ¹	?n ?u ?¹
160	AchangLongchuan	be (in the house)	ni⁵⁵	ni⁵⁵	n i ⁵⁵		486	n i ⁵⁵	n i ⁵⁵
161	Atsi	be (in the house)	ŋji⁵¹	ŋji⁵¹	ŋ j i ⁵¹		487	ŋ j i ⁵¹	ŋ j i ⁵¹
162	Bola	be (in the house)	ŋji⁵⁵	ŋji⁵⁵	ŋ j i ⁵⁵		488	ŋ j i ⁵⁵	ŋ j i ⁵⁵
163	Lashi	be (in the house)	ŋjeːi³¹	ŋjeːi³¹	ŋ j eːi ³¹		487	ŋ j eːi ³¹	ŋ j eːi ³¹
164	Maru	be (in the house)	na³¹	na³¹	n a ³¹		486	n a ³¹	n a ³¹
165	Xiandao	be (in the house)	nai⁵⁵	nai⁵⁵	n ai ⁵⁵		487	n - ai ⁵⁵	n ai ⁵⁵
166	ProtoBurmish	be (in the house)	*ni	ni¹	n i ¹		486	n i ¹	( n i ¹ )
167	ProtoBurmish	be (in the house)	*ŋji	ŋji¹	ŋ j i ¹		488	ŋ j i ¹	?ŋ ?j ?i ?¹
168	AchangLongchuan	beam (of building)	pau⁵⁵ liaŋ³¹	pau⁵⁵+liaŋ³¹	p au ⁵⁵ + l ia ŋ ³¹		50 1817	p au ⁵⁵ + l ia ŋ ³¹	p au ⁵⁵ + l ia ŋ ³¹
169	Xiandao	beam (of building)	pɛ⁵⁵	pɛ⁵⁵	p ɛ ⁵⁵		49	p - ɛ - ⁵⁵	p ɛ ⁵⁵
170	ProtoBurmish	beam (of building)	*bu	bu¹	b u ¹		50	b u ¹	?b ?u ?¹
171	OldBurmese	bear	wam	wam	w a m		658	w a m -	w a m
172	Rangoon	bear	wɛʔ⁴ wũ²²	wɛʔ⁴+wũ²²	w ɛ ʔ ⁴ + w ũ ²²		731 658	w ɛ ʔ ⁴ + w ũ - ²²	w ɛ ʔ ⁴ + w ũ ²²
173	AchangLongchuan	bear	ɔm⁵⁵	ɔm⁵⁵	ɔ m ⁵⁵		658	- ɔ m ⁵⁵	ɔ m ⁵⁵
174	Atsi	bear	vam⁵¹	vam⁵¹	v a m ⁵¹		658	v a m ⁵¹	v a m ⁵¹
175	Bola	bear	vɛ̃⁵⁵	vɛ̃⁵⁵	v ɛ̃ ⁵⁵		1554	v ɛ̃ ⁵⁵	v ɛ̃ ⁵⁵
176	Lashi	bear	wɔm³¹	wɔm³¹	w ɔ m ³¹		658	w ɔ m ³¹	w ɔ m ³¹
177	Maru	bear	vɛ̃³¹	vɛ̃³¹	v ɛ̃ ³¹		658	v ɛ̃ - ³¹	v ɛ̃ ³¹
178	Xiandao	bear	om⁵⁵	om⁵⁵	o m ⁵⁵		658	- o m ⁵⁵	o m ⁵⁵
179	ProtoBurmish	bear	*wam	wam¹	w a m ¹		658	w a m ¹	( w a m ¹ )
180	OldBurmese	bear (fruit)	siḥ	siḥ	s i ḥ/⁵		731	s i - ḥ/⁵	s i ḥ/⁵
181	Rangoon	bear (fruit)	tθi⁵⁵	tθi⁵⁵	tθ i ⁵⁵		731	tθ i - ⁵⁵	tθ i ⁵⁵
182	AchangLongchuan	bear (fruit)	ʂə³¹	ʂə³¹	ʂ ə ³¹		731	ʂ ə - ³¹	ʂ ə ³¹
183	Atsi	bear (fruit)	tsui²¹	tsui²¹	ts ui ²¹		731	ts ui - ²¹	ts ui ²¹
184	Bola	bear (fruit)	tui³¹	tui³¹	t ui ³¹		738	t ui ³¹	t ui ³¹
185	Lashi	bear (fruit)	tʃɿ³³	tʃɿ³³	tʃ ɿ ³³		1581	tʃ ɿ ³³	tʃ ɿ ³³
186	Maru	bear (fruit)	ʃi³⁵	ʃi³⁵	ʃ i ³⁵		731	ʃ i - ³⁵	ʃ i ³⁵
187	Xiandao	bear (fruit)	ʂɿ³¹	ʂɿ³¹	ʂ ɿ ³¹		731	ʂ ɿ - ³¹	ʂ ɿ ³¹
188	ProtoBurmish	bear (fruit)	*ʃeH	ʃe²	ʃ e ²		731	ʃ e - ²	( ʃ e ² )
189	ProtoBurmish	bear (fruit)	*duiH	dui²	d ui ²		738	d ui ²	?d ?ui ?²
190	OldBurmese	bed	kham taṅ	kham+taṅ	kʰ a m + t a ṅ/ŋ		248 2290	kʰ a m - + t a ṅ/ŋ	kʰ a m + t a ṅ/ŋ
191	ProtoBurmish	bed	*ʔkam	ˀkam¹	ˀk a m ¹		248	ˀk a m ¹	( ˀk a m ¹ )
192	AchangLongchuan	bee	tʂua³¹ ɕaŋ³¹	tʂwa³¹+ɕaŋ³¹	ʈʂ w a ³¹ + ɕ a ŋ ³¹		94 1933	ʈʂ w a ³¹ + ɕ a ŋ ³¹	ʈʂ w a ³¹ + ɕ a ŋ ³¹
193	Xiandao	bee	tʂɔ³¹ jaŋ³¹	tʂɔ³¹+jaŋ³¹	ʈʂ ɔ ³¹ + j a ŋ ³¹		1063 1934	ʈʂ ɔ ³¹ + j a ŋ ³¹	ʈʂ ɔ ³¹ + j a ŋ ³¹
194	ProtoBurmish	bee	*dʒaH	dʒa²	dʒ a ²		94	dʒ - a ²	dʒ|dʒ|dʒ|dʒ|m m|m|m|r|r a|a|a|a|a ²|²|²|²|²
195	AchangLongchuan	beggar	tɕam³¹ mɔʔ⁵⁵	tɕam³¹+mɔʔ⁵⁵	tɕ a m ³¹ + m ɔ ʔ ⁵⁵		180 2163	tɕ - a m ³¹ + m ɔ ʔ ⁵⁵	tɕ a m ³¹ + m ɔ ʔ ⁵⁵
196	Atsi	believe / trust	tʃiŋ⁵⁵	tʃiŋ⁵⁵	tʃ i ŋ ⁵⁵		129	tʃ i ŋ ⁵⁵	tʃ i ŋ ⁵⁵
197	Bola	believe / trust	lam³¹ tʃaŋ³⁵	lam³¹+tʃaŋ³⁵	l a m ³¹ + tʃ a ŋ ³⁵		2039 129	l a m ³¹ + tʃ a ŋ ³⁵	l a m ³¹ + tʃ a ŋ ³⁵
198	Lashi	believe / trust	tʃəːŋ⁵⁵	tʃəːŋ⁵⁵	tʃ əː ŋ ⁵⁵		129	tʃ əː ŋ ⁵⁵	tʃ əː ŋ ⁵⁵
199	Maru	believe / trust	tʃaŋ⁵⁵	tʃaŋ⁵⁵	tʃ a ŋ ⁵⁵		129	tʃ a ŋ ⁵⁵	tʃ a ŋ ⁵⁵
200	ProtoBurmish	believe / trust	*dʒiŋX	dʒiŋ³	dʒ i ŋ ³		129	dʒ i ŋ ³	( dʒ i ŋ ³ )
201	AchangLongchuan	belly	ɔm³¹ tau³¹	ɔm³¹+tau³¹	ɔ m ³¹ + t au ³¹		1892 80	ɔ m ³¹ + t au - ³¹	ɔ m ³¹ + t au ³¹
202	Bola	belly	vɛ³¹ tau³¹	vɛ³¹+tau³¹	v ɛ ³¹ + t au ³¹		1893 80	v ɛ ³¹ + t au - ³¹	v ɛ ³¹ + t au ³¹
203	Lashi	belly	wɔm³³ tou³³	wɔm³³+tou³³	w ɔ m ³³ + t ou ³³		1894 80	w ɔ m ³³ + t ou - ³³	w ɔ m ³³ + t ou ³³
204	Maru	belly	vẽ³⁵ tuk³¹	vẽ³⁵+tuk³¹	v ẽ ³⁵ + t u k ³¹		1895 80	v ẽ ³⁵ + t u k ³¹	v ẽ ³⁵ + t u k ³¹
205	ProtoBurmish	belly	*duH	du²	d u ²		80	d u - ²	d|d|d|d|ˀt u|u|u|u|u -|-|-|-|- ⁴|⁴|⁴|⁴|¹
206	Bola	bellyband	mjɔ̃³¹ tu³⁵ tai³¹	mjɔ̃³¹+tu³⁵+tai³¹	m j ɔ̃ ³¹ + t u ³⁵ + t ai ³¹		456 2008 102	m j ɔ̃ - ³¹ + t u ³⁵ + t ai ³¹	m j ɔ̃ ³¹ + t u ³⁵ + t ai ³¹
207	AchangLongchuan	bellyband	m̥ʐaŋ³¹ tui³¹ thep³⁵	m̥ʐaŋ³¹+tui³¹+thep³⁵	m̥ ʐ a ŋ ³¹ + t ui ³¹ + tʰ e p ³⁵		456 2796 2797	m̥ ʐ a ŋ ³¹ + t ui ³¹ + tʰ e p ³⁵	m̥ ʐ a ŋ ³¹ + t ui ³¹ + tʰ e p ³⁵
208	ProtoBurmish	bellyband	*daiH	dai²	d ai ²		102	d ai ²	( d ai ² )
209	AchangLongchuan	below / under	a³¹ the⁵¹	a³¹+the⁵¹	a ³¹ + tʰ e ⁵¹		780 3405	- a ³¹ + tʰ e ⁵¹	a ³¹ + tʰ e ⁵¹
210	Atsi	below / under	o̱⁵¹ mai²¹	o̱⁵¹+mai²¹	o̱ ⁵¹ + m ai ²¹		779 3406	- - o̱ - ⁵¹ + m ai ²¹	o̱ ⁵¹ + m ai ²¹
211	Bola	below / under	a³¹ a⁵⁵	a³¹+a⁵⁵	a ³¹ + a ⁵⁵		3407 779	a ³¹ + - - a - ⁵⁵	a ³¹ + a ⁵⁵
212	Maru	below / under	ɔ³¹ mɛ³¹	ɔ³¹+mɛ³¹	ɔ ³¹ + m ɛ ³¹		779 3408	- - ɔ - ³¹ + m ɛ ³¹	ɔ ³¹ + m ɛ ³¹
213	ProtoBurmish	below / under	*ʔɛH	ʔɛ²	ʔ ɛ ²		780	ʔ ɛ ²	?ʔ ?ɛ ?²
214	AchangLongchuan	bend	khok⁵⁵	khok⁵⁵	kʰ o k ⁵⁵		822	kʰ o k ⁵⁵	kʰ o k ⁵⁵
215	Atsi	bend	lo̱ʔ⁵⁵ ko̱i⁵⁵	lo̱ʔ⁵⁵+ko̱i⁵⁵	l o̱ ʔ ⁵⁵ + k o̱i ⁵⁵		822 3562	l o̱ ʔ ⁵⁵ + k o̱i ⁵⁵	l o̱ ʔ ⁵⁵ + k o̱i ⁵⁵
216	Bola	bend	la̱ʔ⁵⁵ ŋa̱uʔ⁵⁵	la̱ʔ⁵⁵+ŋa̱uʔ⁵⁵	l a̱ ʔ ⁵⁵ + ŋ a̱u ʔ ⁵⁵		822 3563	l a̱ ʔ ⁵⁵ + ŋ a̱u ʔ ⁵⁵	l a̱ ʔ ⁵⁵ + ŋ a̱u ʔ ⁵⁵
217	Lashi	bend	lɔʔ⁵⁵ kɔːi⁵⁵	lɔʔ⁵⁵+kɔːi⁵⁵	l ɔ ʔ ⁵⁵ + k ɔːi ⁵⁵		822 3564	l ɔ ʔ ⁵⁵ + k ɔːi ⁵⁵	l ɔ ʔ ⁵⁵ + k ɔːi ⁵⁵
218	Maru	bend	lɔ̱ʔ⁵⁵ kɔ̱i³¹	lɔ̱ʔ⁵⁵+kɔ̱i³¹	l ɔ̱ ʔ ⁵⁵ + k ɔ̱i ³¹		822 3565	l ɔ̱ ʔ ⁵⁵ + k ɔ̱i ³¹	l ɔ̱ ʔ ⁵⁵ + k ɔ̱i ³¹
219	Xiandao	bend	khoʔ³⁵	khoʔ³⁵	kʰ o ʔ ³⁵		822	kʰ o ʔ ³⁵	kʰ o ʔ ³⁵
220	OldBurmese	big / large	kriḥ	kriḥ	k r i ḥ/⁵		183	k r i ḥ/⁵	k r i ḥ/⁵
221	Rangoon	big / large	tɕi⁵⁵	tɕi⁵⁵	tɕ i ⁵⁵		183	tɕ - i ⁵⁵	tɕ i ⁵⁵
222	AchangLongchuan	big / large	kʐə³¹	kʐə³¹	k ʐ ə ³¹		183	k ʐ ə ³¹	k ʐ ə ³¹
223	Atsi	big / large	ko̱²¹	ko̱²¹	k o̱ ²¹		183	k - o̱ ²¹	k o̱ ²¹
224	Bola	big / large	kɔ̱³⁵	kɔ̱³⁵	k ɔ̱ ³⁵		183	k - ɔ̱ ³⁵	k ɔ̱ ³⁵
225	Lashi	big / large	kjiː³³	kjiː³³	k j iː ³³		183	k j iː ³³	k j iː ³³
226	Xiandao	big / large	kɯ³¹	kɯ³¹	k ɯ ³¹		183	k - ɯ ³¹	k ɯ ³¹
227	ProtoBurmish	big / large	*greH	gre²	g r e ²		183	g r e ²	( g r e ² )
228	OldBurmese	bird	ṅhak	ṅhak	ṅh/ŋʰ a k		680	ṅh/ŋʰ a k -	ṅh/ŋʰ a k
229	Rangoon	bird	ŋ̊ɛʔ⁴	ŋ̊ɛʔ⁴	ŋ̊ ɛ ʔ ⁴		680	ŋ̊ ɛ ʔ ⁴	ŋ̊ ɛ ʔ ⁴
230	AchangLongchuan	bird	m̥ɔʔ⁵⁵	m̥ɔʔ⁵⁵	m̥ ɔ ʔ ⁵⁵		925	m̥ ɔ ʔ ⁵⁵	m̥ ɔ ʔ ⁵⁵
231	Atsi	bird	ŋo̱ʔ⁵⁵	ŋo̱ʔ⁵⁵	ŋ o̱ ʔ ⁵⁵		680	ŋ o̱ ʔ ⁵⁵	ŋ o̱ ʔ ⁵⁵
232	Bola	bird	ŋa̱ʔ⁵⁵	ŋa̱ʔ⁵⁵	ŋ a̱ ʔ ⁵⁵		680	ŋ a̱ ʔ ⁵⁵	ŋ a̱ ʔ ⁵⁵
233	Lashi	bird	ŋɔ̱ʔ⁵⁵	ŋɔ̱ʔ⁵⁵	ŋ ɔ̱ ʔ ⁵⁵		680	ŋ ɔ̱ ʔ ⁵⁵	ŋ ɔ̱ ʔ ⁵⁵
234	Maru	bird	ŋɔ̱ʔ⁵⁵	ŋɔ̱ʔ⁵⁵	ŋ ɔ̱ ʔ ⁵⁵		680	ŋ ɔ̱ ʔ ⁵⁵	ŋ ɔ̱ ʔ ⁵⁵
235	Xiandao	bird	ŋ̊ɔʔ⁵⁵	ŋ̊ɔʔ⁵⁵	ŋ̊ ɔ ʔ ⁵⁵		680	ŋ̊ ɔ ʔ ⁵⁵	ŋ̊ ɔ ʔ ⁵⁵
236	ProtoBurmish	bird	*ʔŋak	ˀŋak⁴	ˀŋ a k ⁴		680	ˀŋ a k ⁴	( ˀŋ a k ⁴ )
237	ProtoBurmish	bird	*ʔmak	ˀmak⁴	ˀm a k ⁴		925	ˀm a k ⁴	?ˀm ?a ?k ?⁴
238	Atsi	birthday	tʃhoʔ⁵⁵ phit⁵⁵ pui⁵¹ ŋji⁵¹	tʃhoʔ⁵⁵+phit⁵⁵+pui⁵¹+ŋji⁵¹	tʃʰ o ʔ ⁵⁵ + pʰ i t ⁵⁵ + p ui ⁵¹ + ŋ j i ⁵¹		52 1001 1833 1834	tʃʰ o ʔ ⁵⁵ + pʰ i t ⁵⁵ + p ui ⁵¹ + ŋ j i ⁵¹	tʃʰ o ʔ ⁵⁵ + pʰ i t ⁵⁵ + p ui ⁵¹ + ŋ j i ⁵¹
239	Bola	birthday	tʃhaʔ⁵⁵ phjɔt⁵⁵ pui⁵⁵	tʃhaʔ⁵⁵+phjɔt⁵⁵+pui⁵⁵	tʃʰ a ʔ ⁵⁵ + pʰ j ɔ t ⁵⁵ + p ui ⁵⁵		52 1835 1002	tʃʰ a ʔ ⁵⁵ + pʰ j ɔ t ⁵⁵ + p ui ⁵⁵	tʃʰ a ʔ ⁵⁵ + pʰ j ɔ t ⁵⁵ + p ui ⁵⁵
240	AchangLongchuan	bite (mosquito)	pan³¹	pan³¹	p a n ³¹		7	p - a n ³¹	p a n ³¹
241	Bola	bite (mosquito)	pɛ̃³¹	pɛ̃³¹	p ɛ̃ ³¹		7	p - ɛ̃ - ³¹	p ɛ̃ ³¹
242	Xiandao	bite (mosquito)	pan³¹	pan³¹	p a n ³¹		7	p - a n ³¹	p a n ³¹
243	Maru	bite (mosquito)	pɛ̱ʔ⁵⁵	pɛ̱ʔ⁵⁵	p ɛ̱ ʔ ⁵⁵		848	p ɛ̱ ʔ ⁵⁵	p ɛ̱ ʔ ⁵⁵
244	OldBurmese	bitter	khaḥ	khaḥ	kʰ a ḥ/⁵		786	kʰ a - ḥ/⁵	kʰ a ḥ/⁵
245	Rangoon	bitter	khɑ⁵⁵	khɑ⁵⁵	kʰ ɑ ⁵⁵		785	kʰ ɑ ⁵⁵	kʰ ɑ ⁵⁵
246	AchangLongchuan	bitter	xɔ³¹	xɔ³¹	x ɔ ³¹		785	x ɔ ³¹	x ɔ ³¹
247	Atsi	bitter	kho²¹	kho²¹	kʰ o ²¹		785	kʰ o ²¹	kʰ o ²¹
248	Bola	bitter	kha³⁵	kha³⁵	kʰ a ³⁵		147	kʰ a ³⁵	kʰ a ³⁵
249	Lashi	bitter	khɔː⁵⁵	khɔː⁵⁵	kʰ ɔː ⁵⁵		785	kʰ ɔː ⁵⁵	kʰ ɔː ⁵⁵
250	Maru	bitter	khɔ³⁵	khɔ³⁵	kʰ ɔ ³⁵		785	kʰ ɔ ³⁵	kʰ ɔ ³⁵
251	Xiandao	bitter	xɔ³¹	xɔ³¹	x ɔ ³¹		785	x ɔ ³¹	x ɔ ³¹
252	ProtoBurmish	bitter	*kaX	ka³	k a ³		147	k a ³	?k ?a ?³
253	ProtoBurmish	bitter	*kaH	ka²	k a ²		785	k a ²	( k a ² )
254	Rangoon	blacksmith	pɑ̃⁵⁵ pɛ⁵⁵ shɑ⁵³ jɑ²²	pɑ̃⁵⁵+pɛ⁵⁵+shɑ⁵³+jɑ²²	p ɑ̃ ⁵⁵ + p ɛ ⁵⁵ + sʰ ɑ ⁵³ + j ɑ ²²		1734 10 1735 1736	p ɑ̃ ⁵⁵ + p - ɛ - ⁵⁵ + sʰ ɑ ⁵³ + j ɑ ²²	p ɑ̃ ⁵⁵ + p ɛ ⁵⁵ + sʰ ɑ ⁵³ + j ɑ ²²
255	AchangLongchuan	blacksmith	ʂam⁵⁵ pat⁵⁵ tʂo⁵⁵	ʂam⁵⁵+pat⁵⁵+tʂo⁵⁵	ʂ a m ⁵⁵ + p a t ⁵⁵ + ʈʂ o ⁵⁵		10 962 1737	ʂ - a m ⁵⁵ + p a t ⁵⁵ + ʈʂ o ⁵⁵	ʂ a m ⁵⁵ + p a t ⁵⁵ + ʈʂ o ⁵⁵
256	Xiandao	blacksmith	ʂam⁵⁵ pat⁵⁵ tʂu⁵⁵	ʂam⁵⁵+pat⁵⁵+tʂu⁵⁵	ʂ a m ⁵⁵ + p a t ⁵⁵ + ʈʂ u ⁵⁵		714 10 1738	- ʂ a m ⁵⁵ + p - a t ⁵⁵ + ʈʂ u ⁵⁵	ʂ a m ⁵⁵ + p a t ⁵⁵ + ʈʂ u ⁵⁵
257	AchangLongchuan	bladder	li⁵⁵ puʔ⁵⁵	li⁵⁵+puʔ⁵⁵	l i ⁵⁵ + p u ʔ ⁵⁵		351 2623	l i ⁵⁵ + p u ʔ ⁵⁵	l i ⁵⁵ + p u ʔ ⁵⁵
258	Atsi	blade (of grass)	khat⁵⁵	khat⁵⁵	kʰ a t ⁵⁵		253	kʰ a t ⁵⁵	kʰ a t ⁵⁵
259	Bola	blade (of grass)	khɛʔ⁵⁵	khɛʔ⁵⁵	kʰ ɛ ʔ ⁵⁵		251	kʰ ɛ ʔ ⁵⁵	kʰ ɛ ʔ ⁵⁵
260	Lashi	blade (of grass)	khat⁵⁵	khat⁵⁵	kʰ a t ⁵⁵		253	kʰ a t ⁵⁵	kʰ a t ⁵⁵
261	Maru	blade (of grass)	khɛʔ⁵⁵	khɛʔ⁵⁵	kʰ ɛ ʔ ⁵⁵		251	kʰ ɛ ʔ ⁵⁵	kʰ ɛ ʔ ⁵⁵
262	ProtoBurmish	blade (of grass)	*kap	kap⁴	k a p ⁴		251	k a p ⁴	( k a p ⁴ )
263	ProtoBurmish	blade (of grass)	*kat	kat⁴	k a t ⁴		253	k a t ⁴	k|k|k|k|ˀk a|a|a|a|a t|t|t|t|t ⁴|⁴|⁴|⁴|⁴
264	OldBurmese	blood	suyḥ	sujḥ	s u j ḥ/⁵		569	s u j ḥ/⁵	s u j ḥ/⁵
265	AchangLongchuan	blood	sui³¹	sui³¹	s ui ³¹		569	s ui - ³¹	s ui ³¹
266	Atsi	blood	sui²¹	sui²¹	s ui ²¹		569	s ui - ²¹	s ui ²¹
267	Bola	blood	sui³⁵	sui³⁵	s ui ³⁵		573	s ui ³⁵	s ui ³⁵
268	Lashi	blood	sui⁵⁵	sui⁵⁵	s ui ⁵⁵		569	s ui - ⁵⁵	s ui ⁵⁵
269	Maru	blood	sa³⁵	sa³⁵	s a ³⁵		569	s a - ³⁵	s a ³⁵
270	Xiandao	blood	sui³¹	sui³¹	s ui ³¹		569	s ui - ³¹	s ui ³¹
271	ProtoBurmish	blood	*ʔsuiH	ˀsui²	ˀs ui ²		569	ˀs ui - ²	ˀs|ˀs|ˀs|ˀs|s ui|ui|ui|ui|ui -|-|-|-|- ²|²|²|²|²
272	ProtoBurmish	blood	*suiX	sui³	s ui ³		573	s ui ³	?s ?ui ?³
273	Atsi	blow (one's nose)	khjui²¹	khjui²¹	kʰ j ui ²¹		283	kʰ j ui ²¹	kʰ j ui ²¹
